overall_rank,player,pos,pos_rank,team,bye,tier,delta_note,flag
66,Carnell Tate,WR,WR26,TEN,9,Tier 3,"Rookie, instant WR1 path with Cam Ward",
67,Tyler Warren,TE,TE3,IND,13,Tier 1,,
68,Matthew Stafford,QB,QB17,LAR,11,Tier 3,,
69,Jameson Williams,WR,WR27,DET,6,Tier 3,,
70,David Montgomery,RB,RB23,HOU,8,Tier 3,Signed with HOU,
71,Bhayshul Tuten,RB,RB24,JAX,7,Tier 3,,
72,Davante Adams,WR,WR28,LAR,11,Tier 4,"Age 33. Late career WR production cliffs hard in our data. Priced at WR21, we pay WR26",
73,Terry McLaurin,WR,WR29,WAS,7,Tier 4,"Model WR18, ranks him above his WR25 ADP",
74,Sam Darnold,QB,QB18,SEA,11,Tier 3,,Riser
75,Wan'Dale Robinson,WR,WR30,TEN,9,Tier 4,Model says WR21 but the model cannot see archetype. Fringe WRs keep their role on a team change only 32.4 percent of the time. This is the exact profile our WR study says to fade,
76,Cam Skattebo,RB,RB25,NYG,8,Tier 3,,
77,Marvin Harrison Jr,WR,WR31,ARI,14,Tier 4,"Fully healthy after the 12 game 2025. New OC LaFleur, Brissett fed McBride 9 plus targets a game though. Volume is the question",
78,Sam LaPorta,TE,TE4,DET,6,Tier 1,"ADP says TE11, projections say TE5. Market is punishing recency. We are not",Target
79,Bucky Irving,RB,RB26,TB,10,Tier 3,,
80,Michael Pittman,WR,WR32,PIT,9,Tier 4,Traded to PIT,Riser
81,Woody Marks,RB,RB27,HOU,8,Tier 4,,
82,Daniel Jones,QB,QB19,IND,13,Tier 3,Starting Week 1 off the torn Achilles. Rushing floor is the question mark now,
83,Michael Wilson,WR,WR33,ARI,14,Tier 4,,
84,Chuba Hubbard,RB,RB28,CAR,5,Tier 4,,
85,Jonathon Brooks,RB,RB29,CAR,5,Tier 4,Back from the knee. Hubbard still leads,
86,Jared Goff,QB,QB20,DET,6,Tier 3,,
87,Christian Watson,WR,WR34,GB,11,Tier 4,"Model WR23. TD dependent profile, better in half PPR",
88,Jordan Love,QB,QB21,GB,11,Tier 3,,
89,Rashee Rice,WR,WR35,KC,5,Tier 4,,Avoid
90,Mike Evans,WR,WR36,SF,8,Tier 5,"Age 33, new team. The streak chaser narrative does not pay for the decline curve",Injury
91,Chris Godwin Jr.,WR,WR37,TB,10,Tier 5,,
92,Kyler Murray,QB,QB22,MIN,6,Tier 4,Signed with MIN,
93,Tucker Kraft,TE,TE5,GB,11,Tier 1,,Riser
94,Kyle Monangai,RB,RB30,CHI,10,Tier 4,Swift handcuff with standalone flex weeks in the Ben Johnson run game,
95,Colston Loveland,TE,TE6,CHI,10,Tier 1,,Faller
96,Fernando Mendoza,QB,QB23,LV,13,Tier 4,"Superflex delta. First overall pick, and Round 1 capital is a starts guarantee: our QB study shows first rounders survive bad seasons at 60.3 percent vs 25 for the rest. 17 starts at QB24 pricing is the cheapest floor on the board",
97,Blake Corum,RB,RB31,LAR,11,Tier 4,,
98,Courtland Sutton,WR,WR38,DEN,10,Tier 5,Waddle arrival cuts the target share,
99,Stefon Diggs,WR,WR39,WAS,7,Tier 5,,
100,George Kittle,TE,TE7,SF,8,Tier 2,"Age 33, hamstring cost him time in 2025",
101,Romeo Doubs,WR,WR40,NE,11,Tier 5,"Signed with NE, then the AJB trade landed. Clear WR2 role, capped ceiling",
102,Kirk Cousins,QB,QB24,LV,13,Tier 4,,
103,DK Metcalf,WR,WR41,PIT,9,Tier 5,Model WR20. Rodgers at QB again caps the ceiling,
104,MarShawn Lloyd,RB,RB32,GB,11,Tier 4,,
105,Matthew Golden,WR,WR42,GB,11,Tier 6,,
106,Rachaad White,RB,RB33,WAS,7,Tier 5,Signed with WAS,
107,Malik Willis,QB,QB25,MIA,6,Tier 4,"67.5 million says he starts, and he runs. Superflex QB3 with weekly rushing spikes",
108,KC Concepcion,WR,WR43,CLE,11,Tier 6,,
109,Makai Lemon,WR,WR44,PHI,10,Tier 6,,Injury
110,Rhamondre Stevenson,RB,RB34,NE,11,Tier 5,,
111,Quentin Johnston,WR,WR45,LAC,7,Tier 6,"Model WR29, back to back improving seasons",
112,Denzel Boston,WR,WR46,CLE,11,Tier 6,Rookie. Landing spot QB is the drag,
113,RJ Harvey,RB,RB35,DEN,10,Tier 5,,
114,Cam Ward,QB,QB26,TEN,9,Tier 5,,
115,Brenton Strange,TE,TE8,JAX,7,Tier 2,,
116,Jonah Coleman,RB,RB36,DEN,10,Tier 5,,
117,Harold Fannin,TE,TE9,CLE,11,Tier 2,,
118,Tank Dell,WR,WR47,HOU,8,Tier 6,,
119,Josh Downs,WR,WR48,IND,13,Tier 7,,
120,C.J. Stroud,QB,QB27,HOU,8,Tier 5,,
121,Zach Charbonnet,RB,RB37,SEA,11,Tier 5,"PUP to open the season, out at least 4 games on the ACL rehab. Stash if the bench allows, Price runs the show meanwhile",
122,Kaleb Johnson,RB,RB38,GB,11,Tier 5,,
123,De'Zhaun Stribling,WR,WR49,SF,8,Tier 7,,
124,Skyler Bell,WR,WR50,BUF,7,Tier 7,"Year 2, 9.71 RAS, but the Moore signing buries the depth chart further. Deep league dart, watch the preseason snap data",
125,Isaiah Likely,TE,TE10,NYG,8,Tier 3,"Signed with NYG, first TE1 role of his career",
126,Bryce Young,QB,QB28,CAR,5,Tier 5,,
127,Tony Pollard,RB,RB39,TEN,9,Tier 6,,
128,Jayden Reed,WR,WR51,GB,11,Tier 7,,
129,Xavier Worthy,WR,WR52,KC,5,Tier 7,,
130,Travis Hunter,WR,WR53,JAX,7,Tier 7,,
131,Kyle Pitts,TE,TE11,ATL,11,Tier 3,,
132,Shedeur Sanders,QB,QB29,CLE,11,Tier 5,,
133,Jaylen Warren,RB,RB40,PIT,9,Tier 6,,
134,Jordan Addison,WR,WR54,MIN,6,Tier 7,,
135,Jakobi Meyers,WR,WR55,JAX,7,Tier 7,,
136,Ja'Kobi Lane,WR,WR56,BAL,13,Tier 7,,Riser
137,Dalton Kincaid,TE,TE12,BUF,7,Tier 3,,Injury
138,Tua Tagovailoa,QB,QB30,ATL,11,Tier 5,Signed vet minimum with ATL. Job unresolved vs Penix as of Aug 26. Do not pay for either until it is,
139,Emmett Johnson,RB,RB41,KC,5,Tier 6,,
140,Braelon Allen,RB,RB42,NYJ,13,Tier 6,,
141,Jacory Croskey-Merritt,RB,RB43,WAS,7,Tier 6,,
142,Jordan Mason,RB,RB44,MIN,6,Tier 6,,
143,Troy Franklin,WR,WR57,DEN,10,Tier 7,Model WR48 liked the 2025 growth. Waddle trade caps it,
144,Elic Ayomanor,WR,WR58,TEN,9,Tier 7,,
145,Chris Rodriguez,RB,RB45,JAX,7,Tier 6,,
146,Aaron Rodgers,QB,QB31,PIT,9,Tier 5,,
147,Mark Andrews,TE,TE13,BAL,13,Tier 3,,
148,Tyjae Spears,RB,RB46,TEN,9,Tier 6,,
149,Christian Kirk,WR,WR59,SF,8,Tier 7,,Injury
150,Rashid Shaheed,WR,WR60,SEA,11,Tier 7,Signed with SEA. Return yards leagues bump him further,Riser
151,Rico Dowdle,RB,RB47,PIT,9,Tier 6,"Signed with PIT, splits with Warren",
152,Geno Smith,QB,QB32,NYJ,13,Tier 5,Traded back to the team that drafted him,
153,Gunnar Helm,TE,TE14,TEN,9,Tier 4,,
154,Jerry Jeudy,WR,WR61,CLE,11,Tier 7,Watson at QB is a target quality problem,
155,Malik Benson,WR,WR62,LV,13,Tier 7,,Riser
156,Deebo Samuel,WR,WR63,SF,8,Tier 7,Back in SF,Riser
157,Tyler Allgeier,RB,RB48,ARI,14,Tier 6,"Signed with ARI, veteran complement to Love",
158,Nicholas Singleton,RB,RB49,TEN,9,Tier 6,,
159,Najee Harris,RB,RB50,NYG,8,Tier 6,,
160,AJ Barner,TE,TE15,SEA,11,Tier 4,,
161,Darnell Mooney,WR,WR64,NYG,8,Tier 7,,Faller
162,Alvin Kamara,RB,RB51,NO,8,Tier 6,"MCL sprain, out about a month, and behind Etienne when back. Name value only",
163,Aaron Jones,RB,RB52,MIN,6,Tier 6,"Age 31, committee with Mason",
164,Chig Okonkwo,TE,TE16,WAS,7,Tier 4,Signed with WAS,
165,Jalen McMillan,WR,WR65,TB,10,Tier 7,,
166,Jalen Coker,WR,WR66,CAR,5,Tier 7,,
167,Josh Jacobs,RB,RB53,GB,11,Tier 6,,
168,Demond Claiborne,RB,RB54,MIN,6,Tier 7,,
169,Kenyon Sadiq,TE,TE17,NYJ,13,Tier 4,"Rookie TE. Our TE priors say the breakout is Year 2 or 3, not Year 1",
170,Khalil Shakir,WR,WR67,BUF,7,Tier 7,"DJ Moore arrival adds real competition, but slot role is stickiest in our target data",
171,Keaton Mitchell,RB,RB55,LAC,7,Tier 7,,
172,Kaytron Allen,RB,RB56,WAS,7,Tier 7,,
173,David Njoku,TE,TE18,LAC,7,Tier 4,Signed with LAC,
174,Kaelon Black,RB,RB57,SF,8,Tier 7,,
175,Adam Randall,RB,RB58,BAL,13,Tier 7,,
176,Malachi Fields,WR,WR68,NYG,8,Tier 7,,
177,Eli Stowers,TE,TE19,PHI,10,Tier 4,,
178,Brian Robinson,RB,RB59,ATL,11,Tier 7,,
179,Tank Bigsby,RB,RB60,PHI,10,Tier 7,,
180,Ryan Flournoy,WR,WR69,DAL,14,Tier 7,,
181,Germie Bernard,WR,WR70,PIT,9,Tier 7,,
182,Bryce Lance,WR,WR71,NO,8,Tier 7,,
183,Oronde Gadsden,TE,TE20,LAC,7,Tier 4,,
184,Mike Washington,RB,RB61,LV,13,Tier 7,,
185,Tyrone Tracy,RB,RB62,NYG,8,Tier 7,,
186,Greg Dulcich,TE,TE21,MIA,6,Tier 4,,
187,DJ Giddens,RB,RB63,IND,13,Tier 7,,
188,Dylan Sampson,RB,RB64,CLE,11,Tier 7,,
189,Jake Ferguson,TE,TE22,DAL,14,Tier 5,,
190,Sean Tucker,RB,RB65,TB,10,Tier 7,,
191,T.J. Hockenson,TE,TE23,MIN,6,Tier 5,,
192,Dallas Goedert,TE,TE24,PHI,10,Tier 5,,
193,Justice Hill,RB,RB66,BAL,13,Tier 7,,
194,Isiah Pacheco,RB,RB67,DET,6,Tier 7,"Signed with DET. MCL sprain plus back issue, Week 1 in doubt. Gibbs handcuff when right",
195,Travis Kelce,TE,TE25,KC,5,Tier 6,Age 37. Name brand tax at this ADP,
196,Eli Heidenreich,RB,RB68,PIT,9,Tier 8,,
197,Jalen Nailor,WR,WR72,LV,13,Tier 7,,Faller
198,Isaac TeSlaa,WR,WR73,DET,6,Tier 7,,
199,Jauan Jennings,WR,WR74,MIN,6,Tier 7,Signed with MIN,
200,Marvin Mims,WR,WR75,DEN,10,Tier 7,,
201,Chris Bell,WR,WR76,MIA,6,Tier 7,,
202,Kevin Coleman,WR,WR77,MIA,6,Tier 7,,
203,Jacoby Brissett,QB,QB33,ARI,14,Tier 5,,
204,Riley Leonard,QB,QB34,IND,13,Tier 6,,
205,Anthony Richardson,QB,QB35,IND,13,Tier 6,,
206,Eli Raridon,TE,TE26,NE,11,Tier 7,,Target
207,Matthew Hibner,TE,TE27,BAL,13,Tier 7,"Rookie Round 4 TE. Nearly all TE breakouts land in Years 2 and 3, so this is a dynasty pick, not a redraft one",Riser
208,Oscar Delp,TE,TE28,NO,8,Tier 7,,
209,Jordyn Tyson,WR,WR78,NO,8,Tier 7,"Hamstring, expected out around two months. Late stash only",Injury
210,Marlin Klein,TE,TE29,HOU,8,Tier 7,,
211,Charlie Kolar,TE,TE30,LAC,7,Tier 7,,
212,Michael Mayer,TE,TE31,LV,13,Tier 7,,Riser
213,Jameis Winston,QB,QB36,NYG,8,Tier 7,,
214,Joe Flacco,QB,QB37,CIN,6,Tier 7,,
215,Andrei Iosivas,WR,WR79,CIN,6,Tier 8,,
216,Kayshon Boutte,WR,WR80,HOU,8,Tier 8,,Riser
217,Alec Pierce,WR,WR81,IND,13,Tier 8,,
218,Reggie Virgil,WR,WR82,ARI,14,Tier 8,,Riser
219,Calvin Ridley,WR,WR83,TEN,9,Tier 8,,
220,Zachariah Branch,WR,WR84,ATL,11,Tier 8,,
221,Omar Cooper,WR,WR85,NYJ,13,Tier 8,,
222,Rashod Bateman,WR,WR86,BAL,13,Tier 8,,
223,Elijah Sarratt,WR,WR87,BAL,13,Tier 8,,
224,Terrance Ferguson,TE,TE32,LAR,11,Tier 8,,
225,Tre' Harris,WR,WR88,LAC,7,Tier 8,,
226,Cooper Kupp,WR,WR89,SEA,11,Tier 8,,
227,Jaylin Noel,WR,WR90,HOU,8,Tier 8,,
228,Dalton Schultz,TE,TE33,HOU,8,Tier 8,,
229,Cyrus Allen,WR,WR91,KC,5,Tier 8,,
230,Deion Burks,WR,WR92,IND,13,Tier 8,,
231,Hunter Henry,TE,TE34,NE,11,Tier 8,,
232,Treylon Burks,WR,WR93,WAS,7,Tier 8,,
233,John Metchie,WR,WR94,CAR,5,Tier 8,,
234,Antonio Williams,WR,WR95,WAS,7,Tier 8,,
235,Juwan Johnson,TE,TE35,NO,8,Tier 8,,
236,Tyler Huntley,QB,QB38,BAL,13,Tier 8,,
237,Keon Coleman,WR,WR96,BUF,7,Tier 8,DJ Moore arrival squeezes the perimeter targets,
238,Kyle Williams,WR,WR97,NE,11,Tier 8,,
239,Isaiah Bond,WR,WR98,CLE,11,Tier 8,,
240,Cade Otton,TE,TE36,TB,10,Tier 8,,
241,Tyson Bagent,QB,QB39,CHI,10,Tier 8,,
242,Tory Horton,WR,WR99,SEA,11,Tier 8,,
243,Jack Bech,WR,WR100,LV,13,Tier 8,,Faller
244,Justin Joly,TE,TE37,,,Tier 8,,
245,Mac Jones,QB,QB40,SF,8,Tier 8,,
246,Tre Tucker,WR,WR101,LV,13,Tier 8,,Faller
